Date	Country	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	other
2019/12/24-2019/12/31	Wuhan	20	1	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	env	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Beijing	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Thailand	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Jingzhou	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Shenzhen	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Pingxiang	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Jiangxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Nepal	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Guangdong	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Sichuan	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Zhejiang	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Yunnan	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Hunan	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Chongqing	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	USA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Shandong	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Hangzhou	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Japan	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Shanghai	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Hong Kong	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Nanchang	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Fujian	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Jiujiang	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Foshan	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Vietnam	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Shangrao	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2019/12/31	Taiwan	0	0	0	0	0	0	0	0	0	0	0	0	0	0
